Scenario,Trial,Status,Duration (s),Min Clearance (m),Path Length (m),Avg CPU (%),Peak RAM (MB)
Scen1_APF,1,Success_Direct,37.80,N/A,0.00,0.0,0.0
Scen1_APF,2,Success_Direct,37.80,N/A,0.00,0.0,0.0
Scen1_APF,3,Success_Direct,37.80,N/A,0.00,0.0,0.0
Scen1_APF,4,Success_Direct,38.00,N/A,0.00,0.0,0.0
Scen1_APF,5,Success_Direct,37.80,N/A,0.00,0.0,0.0
Scen1_APF,6,Success_Direct,37.80,N/A,0.00,0.0,0.0
Scen1_APF,7,Success_Direct,37.80,N/A,0.00,0.0,0.0
Scen1_APF,8,Success_Direct,37.80,N/A,0.00,0.0,0.0
Scen1_APF,9,Success_Direct,37.80,N/A,0.00,0.0,0.0
Scen1_APF,10,Success_Direct,37.80,N/A,0.00,0.0,0.0
Scen1_APF,1,Success_Direct,38.00,0.221,6.68,6.9,31.7
Scen1_APF,2,Success_Direct,38.00,0.224,6.68,7.0,32.8
Scen1_APF,3,Success_Direct,38.00,0.221,6.68,7.0,33.2
Scen1_APF,4,Success_Direct,38.00,0.226,6.68,7.0,33.3
Scen1_APF,5,Success_Direct,38.00,0.227,6.68,7.0,33.3
Scen1_APF,6,Success_Direct,37.80,0.223,6.68,6.9,33.7
Scen1_APF,7,Success_Direct,38.00,0.227,6.68,6.9,33.3
Scen1_APF,8,Success_Direct,37.80,0.224,6.68,7.0,33.8
Scen1_APF,9,Success_Direct,37.80,0.212,6.69,7.0,33.8
Scen1_APF,10,Success_Direct,37.80,0.224,6.68,6.9,33.3
